dataset_id	model_id	profile_col	covar_set	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	log_likelihood	aic	bic
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	C(ft_profile)[T.shock_spike]	-0.03980285054456945	0.09711089827954031	0.6819012629557432	-0.23013671367880115	0.15053101258966226	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	C(ft_profile)[T.stable_low]	-0.33230256079525317	0.06814442282332688	1.0801453900865068e-06	-0.4658631752762431	-0.19874194631426323	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	t_years	0.13973278685162605	0.014093713612508291	3.598850545412485e-23	0.1121096157626879	0.16735595794056418	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.mixed]	-0.021475338221214786	0.02052407214082733	0.29540002309606406	-0.06170178043333824	0.018751103990908666	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.shock_spike]	-0.01825086960849218	0.02655584211886158	0.4919164911148042	-0.07029936374059272	0.03379762452360835	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.stable_low]	-0.033412528324958495	0.01691624204837509	0.04824835943236054	-0.06656775349353575	-0.0002573031563812486	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	baseline_age	0.02631184862854737	0.0041260852952165845	1.8064683205958903e-10	0.018224870052782546	0.03439882720431219	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	sex	0.13010781579350075	0.05404436996006062	0.01606542222919715	0.024182797104623538	0.23603283448237797	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	education_c	-0.09985743112912274	0.015559614141171914	1.38319617845368e-10	-0.1303537144591598	-0.06936114779908566	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	residence_rural_w1	0.2248181506651394	0.05605273387219156	6.050491592871571e-05	0.11495681104063558	0.3346794902896432	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	core_disease_count_w1	0.22051413895639574	0.02130922102407543	4.259975617562288e-25	0.17874883321060417	0.26227944470218734	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	adl5_w1	0.6632512777931476	0.0203366473706428	2.6311561477914767e-233	0.6233921813803965	0.7031103742058987	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	Intercept	-1.1026835976090592	0.15360493153428567	7.037779904038221e-13	-1.403743731264	-0.8016234639541184	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	C(ft_profile)[T.mixed]	-0.06746738892850536	0.044039490154956895	0.12552865453522613	-0.15378320352972716	0.01884842567271644	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	C(ft_profile)[T.shock_spike]	0.057362246321857435	0.05760663190428299	0.3193678955982764	-0.05554467748119325	0.1702691701249081	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	C(ft_profile)[T.stable_low]	-0.1015061625407194	0.03742832396043318	0.0066875639072942646	-0.17486432950486597	-0.028147995576572812	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	t_years	0.07553187405901067	0.008283715637700995	7.644208581271675e-20	0.05929608975094547	0.09176765836707587	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	t_years:C(ft_profile)[T.mixed]	-0.022639388625929423	0.01063727750846907	0.03331166581066194	-0.043488069436086754	-0.0017907078157720878	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	t_years:C(ft_profile)[T.shock_spike]	-0.02731939765241773	0.01301076883954589	0.0357505966478384	-0.05282003598910367	-0.001818759315731791	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	t_years:C(ft_profile)[T.stable_low]	-0.04294390477647678	0.008861940133232002	1.2605123935865631e-06	-0.06031298827076159	-0.025574821282191965	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	baseline_age	0.019827167953334203	0.002067044264505609	8.636167103694506e-22	0.015775835640453123	0.023878500266215283	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	sex	0.08570093396588001	0.02261275966566198	0.0001506855125684791	0.041380739430122535	0.1300211285016375	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	education_c	-0.06398574629875478	0.005849205503601732	7.484094180165775e-28	-0.07544997842398765	-0.05252151417352192	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	residence_rural_w1	0.12590161545873052	0.022408568707695257	1.9266855251548668e-08	0.08198162784655655	0.1698216030709045	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
main_cohort	cluster_ols_fallback	ft_profile	baseline_disease	core_disease_count_w1	0.14597569868262075	0.01040236200539527	9.800605120326481e-45	0.12558744379789819	0.16636395356734332	19469	5086	-28110.69087946938	56247.38175893876	56349.77728250649
