module	model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids
leg1	cesd_leg1_no_cesdlag_cluster_ols	cesd10	residence_rural_w1	1.3999237210824191	0.15993509746327222	2.076187087289732e-18	1.0864566901905022	1.713390751974336	11285	4199
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	Intercept	4.488202393900016	0.6718768497322395	2.3878447267885224e-11	3.1713479663785966	5.805056821421435	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	C(interval_lag)[T.2013-2015]	0.5818782997582757	0.12538399675923556	3.4711318448176905e-06	0.3361301818724871	0.8276264176440642	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	C(interval_lag)[T.2015-2018]	0.7360500056598002	0.11890947412252316	6.016305677886087e-10	0.5029917189590573	0.9691082923605431	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	oop_shock_p95_lag	-0.4286253825846442	0.2865238745123619	0.1346666920773782	-0.9902018573397474	0.13295109217045897	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	log_oop_raw_lag	0.0627810869583237	0.01792628155585974	0.00046146559648104494	0.027646220732113966	0.09791595318453343	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	cesd10_lag	0.4581365620904086	0.011598809908476308	0.0	0.4354033124062687	0.48086981177454846	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	adl5_lag	0.2831763324249013	0.06772074913548887	2.895542570266057e-05	0.15044610311327114	0.4159065617365315	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	core_disease_count_lag	0.4230537276865656	0.044903928532567076	4.4550445867633654e-21	0.3350436449983736	0.5110638103747576	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	baseline_age	-0.031997495690318664	0.008952186509664607	0.0003512117718759984	-0.04954345883214663	-0.014451532548490704	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	sex	0.6901356915885035	0.11266981691441755	9.051662445542806e-10	0.46930690829152333	0.9109644748854837	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	education_c	-0.18953225055967898	0.030856957441455907	8.134234501756633e-10	-0.25001077581741776	-0.1290537253019402	10964	4133
leg1	cesd_leg1_with_cesdlag_cluster_ols	cesd10	residence_rural_w1	0.7405214657151444	0.11196889740476522	3.749946339815214e-11	0.5210664594131442	0.9599764720171446	10964	4133
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	Intercept	-0.40396412710012575	0.06625124603033476	1.0776906270590536e-09	-0.5338141832504841	-0.27411407094976736	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	C(interval_lag)[T.2013-2015]	0.0009812947670676427	0.004372620692190186	0.8224320700495696	-0.007588884307679724	0.00955147384181501	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	C(interval_lead)[T.2015-2018]	0.0009812947670641932	0.004372620692190123	0.8224320700501808	-0.007588884307683049	0.009551473841811434	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	cesd10	0.006415398836347784	0.000932346358955679	5.9468080505397655e-12	0.0045880335516775995	0.008242764121017968	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	oop_shock_p95_lag	0.010157986938167022	0.02822614780458618	0.7189379108987624	-0.0451642461811262	0.06548022005746025	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	log_oop_raw_lag	0.002002616830919102	0.0016242505115868669	0.21759507101973796	-0.001180855673661915	0.005186089335500119	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	adl5	-0.23954281009044187	0.008107432372575296	7.375477072242487e-192	-0.25543308554778354	-0.22365253463310017	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	adl5_lag	0.1099249296201955	0.008664835265284597	7.041153729437461e-37	0.09294216456826512	0.12690769467212587	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	core_disease_count_lag	0.0286307898769008	0.004728028912443569	1.399434063471994e-09	0.019364023490647322	0.037897556263154275	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	baseline_age	0.005904323360229732	0.0009298739705028556	2.1588214478386929e-10	0.004081803867882874	0.0077268428525765894	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	sex	0.02377969575029841	0.010216247375489294	0.019931489194885972	0.0037562188371875437	0.04380317266340927	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	education_c	-0.006284346298884026	0.0026365481443983035	0.0171465202138584	-0.01145188570541061	-0.0011168068923574411	7819	4168
leg2	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	residence_rural_w1	0.0383509524071052	0.009934870066231427	0.00011327713213860654	0.01887896488620654	0.05782293992800386	7819	4168
