model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	shock_quantile	weighted_ipw
main_change_ipw_wls_q0.9	delta_adl_per_year	sex	0.020976261178323595	0.0084252287718418	0.012785228135572682	0.0044631162240030345	0.037489406132644156	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	education_c	-0.016561851300417662	0.0022010274853392396	5.28819880172401e-14	-0.020875785900665335	-0.01224791670016999	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	residence_rural_w1	0.029758649920701125	0.008459885305227332	0.0004354377156004006	0.013177579409115913	0.04633972043228633	13285	5077	0.2159520652788357	0.9	1
main_change_cluster_ols_q0.95	delta_adl_per_year	Intercept	-0.35638703523586174	0.05374703675083073	3.338225340684136e-11	-0.46172929154324066	-0.2510447789284828	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	C(interval)[T.2013-2015]	0.07151653424584009	0.009955444352748258	6.786918128641183e-13	0.052004221864360836	0.09102884662731935	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	C(interval)[T.2015-2018]	0.04912135691022958	0.008275844119645206	2.9293317028092724e-09	0.03290100049405738	0.06534171332640178	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	log_oop_raw_lag	0.0007686091478907243	0.0013475495038193157	0.5684230802935348	-0.0018725393469799542	0.003409757642761403	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	oop_shock_q0_95_lag	0.05548024913977301	0.02447030557159678	0.023375085647935917	0.0075193315287534965	0.10344116675079251	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	adl5_lag	-0.23959162564314174	0.008052474200453427	1.5490264921861564e-194	-0.25537418506246845	-0.22380906622381505	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	core_disease_count_lag	0.0450434766737048	0.0037215964216943745	1.0148964737985894e-33	0.037749281722190685	0.052337671625218914	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	baseline_age	0.0058826201883117905	0.0007510118473144957	4.766450636118058e-15	0.004410664015612485	0.007354576361011096	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	sex	0.021451469179148575	0.008339074317768685	0.010099492439596468	0.00510718385191903	0.03779575450637812	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	education_c	-0.01654117944014166	0.0021783385098975393	3.114157542644586e-14	-0.020810644465677486	-0.012271714414605834	13285	5077	0.21477685293383975	0.95	0
main_change_cluster_ols_q0.95	delta_adl_per_year	residence_rural_w1	0.029611255680023152	0.008375805094276371	0.00040726240151977634	0.013194979353714352	0.04602753200633195	13285	5077	0.21477685293383975	0.95	0
main_change_ipw_wls_q0.95	delta_adl_per_year	Intercept	-0.3590374365982458	0.05426786984404187	3.6899275128863816e-11	-0.46540050701027513	-0.2526743661862164	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	C(interval)[T.2013-2015]	0.07236991662730559	0.010042637902389077	5.750715855224119e-13	0.05268670802884612	0.09205312522576506	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	C(interval)[T.2015-2018]	0.05036542115945065	0.008362955803586479	1.7180432494765824e-09	0.03397432898012093	0.06675651333878037	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	log_oop_raw_lag	0.0007244098392583583	0.0013608057275480928	0.5944912869873304	-0.0019427203766917288	0.003391540055208445	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	oop_shock_q0_95_lag	0.05593411815064635	0.0246240988359133	0.02311555407856576	0.007671771280501609	0.10419646502079108	13285	5077	0.21594126847393735	0.95	1
main_change_ipw_wls_q0.95	delta_adl_per_year	adl5_lag	-0.23892828015813367	0.008070718134433854	1.3139361558443603e-192	-0.25474659703099833	-0.22310996328526903	13285	5077	0.21594126847393735	0.95	1
